"id","13","0","5","14","12"

"### 翻译贡献者 / Translators"

"## TOH"
"#13 SChinese: fivefirex & ZeMing & OH233 &  2T & MC-AS-Huier & xiaojin & xyjx001& Tanakanira"

"## TOHE"
"#13 SChinese: KARPED1EM"
"#00 English: Tommy-XL (@Tommy-XL) & Tem (@mogekonik1) & Gurge44 & KARPED1EM & Gurge44"
"#05 Russian: Tommy-XL (@Tommy-XL) & Tem (@mogekonik1)"

"### If you want to translate the mod into other languages -"
"### Visit: https://crowdin.com/project/tohe"
"### Thank you very much for translating for us"

"### 生草作者你好呀！"
"### 其实一直想跟你道个谢，毕竟翻译是一件很累的事情"
"### 即便如此，你还是选择来支持我这个微不足道的小模组"
"### TOHE因你变得更好、变得更加强大啦"
"### 或许我们在未来的路上会经历许多坎坷，或许TOHE的昙花一现就此落幕"
"### 但感谢有你，感谢TOHE短暂的生命中的每一位过客"

"## 作者署名（会显示在右上角，不需要请留空）/ A sign of an author (Please leave blank when not needed)"
"TextBelowVersionText","","","","",""

"# 阵营 / Teams"
"TeamImpostor","内鬼阵营","Team Impostor","Команда Предателей","狼人陣營","内鬼阵营"
"TeamNeutral","中立阵营","Neutral","Нейтрал","中立陣營","中立阵营"
"TeamJackal","豺狼阵营","Team Jackal","Команда Шакалов","豺狼陣營","豺狼阵营"
"TeamPelican","鹈鹕阵营","Team Pelican","Команда Пеликанов","鵜鶘陣營","鹈鹕阵营"
"TeamGamer","玩家阵营","Team Demons","Команда Демонов","玩傢陣營","玩家阵营"

"## 个人竞技模式 / PVP"
"KB_Normal","挑战者","Challenger","Боец","挑戰者","挑战者"
"KB_NormalInfo","击败所有人！","Kill all of them!","Уничтожь их!","撃敗所有人！","击败所有人！"

"## 职业 / Roles"

"# 其它 / Other"
"GM","管理员","GM","GM (Призрак)","管理員","管理员"

"# 隐藏 / Hidden"
"Sunnyboy","阳光开朗大男孩","Sunnyboy","Солнечный мальчик","陽光開朗大男孩","阳光开朗大男孩"
"Bard","吟游诗人","Bard","Бард","吟遊詩人","吟游诗人"

"# 原版职业 / Vanilla"
"Crewmate","船员","Crewmate","Член Экипажа","船員","船员"
"Engineer","工程师","Engineer","Инженер","工程師","工程师"
"Scientist","科学家","Scientist","Ученый","科學家","科学家"
"GuardianAngel","守护天使","Guardian Angel","Ангел-хранитель","守護天使","守护天使"
"Impostor","内鬼","Impostor","Предатель","内鬼","内鬼"
"Shapeshifter","变形者","Shapeshifter","Оборотень","變形者","变形者"

"# 内鬼阵营 / Impostors"
"BountyHunter","赏金猎人","Bounty Hunter","Охотник за Головами","賞金獵人","赏金猎人"
"Mare","梦魇","Mare","Ночной","夢魘","梦魇"
"FireWorks","烟花商人","Fireworker","Фейерверк","煙火工匠","烟花商人"
"SerialKiller","嗜血杀手","Serial Killer","Серийный Убийца","連環殺手","嗜血杀手"
"ShapeMaster","千面鬼","Shape Master","Шпион","變形大師","千面鬼"
"Vampire","吸血鬼","Vampire","Вампир","吸血鬼","吸血鬼"
"Warlock","术士","Warlock","Колдун","術士","术士"
"Assassin","刺客","Assassin","Ассасин","刺客","刺客"
"Zombie","僵尸","Zombie","Зомби","僵屍","僵尸"
"Hacker","骇客","Hacker","Хакер","駭客","骇客"
"Miner","矿工","Miner","Шахтер","礦工","矿工"
"Minimalism","杀戮机器","Killing Machine","Машина для Убийств","殺戮機器","杀戮机器"
"Escapee","逃逸者","Escapist","Беглец","逃逸者","逃逸者"
"Witch","女巫","Witch","Ведьма","女巫","女巫"
"Mafia","黑手党","Mafia","Мафия","黑手黨","黑手党"
"Puppeteer","傀儡师","Puppeteer","Кукловод","傀儡師","傀儡师"
"TimeThief","蚀时者","Time Thief","Вор Времени","蝕時者","蚀时者"
"Sniper","狙击手","Sniper","Снайпер","狙擊手","狙击手"
"EvilTracker","追踪者","Evil Tracker","Злой Трекер","追踪者","追踪者"
"EvilGuesser","邪恶赌怪","Evil Guesser","Злой Угадыватель","邪惡賭怪","邪恶赌怪"
"AntiAdminer","监管者","Anti Adminer","Анти Админер","監管者","监管者"
"Sans","狂妄杀手","Arrogance","Высокомер","狂妄殺手","狂妄杀手"
"Bomber","自爆兵","Bomber","Бомбер","自爆兵","自爆兵"
"Scavenger","清道夫","Scavenger","Уборщик","清道夫","清道夫"
"BoobyTrap","诡雷","Booby Trap","Мина Ловушка","詭雷","诡雷"
"Capitalism","资本家","Capitalist","Капиталист","資本傢","资本家"
"Gangster","教父","Gangster","Гангстер","教父","教父"
"Cleaner","清理工","Cleaner","Очиститель","清理工","清理工"
"Messenger","情报贩子","Informant","Информатор","情報販子","情报贩子"
"BallLightning","球状闪电","Lightning","Молния","球狀閃電","球状闪电"
"Greedier","贪婪者","Greedy","Жадина","貪婪者","贪婪者"
"CursedWolf","呪狼","Cursed Wolf","Проклятый Волк","呪狼","呪狼"
"ImperiusCurse","夺魂者","Soul Catcher","Ловец Душ","奪魂者","夺魂者"
"QuickShooter","快枪手","Quick Shooter","Стрелок","快槍手","快枪手"
"Concealer","隐蔽者","Concealer","Консилер","隱蔽者","隐蔽者"
"Eraser","抹除者","Eraser","Стирачка","抹除者","抹除者"
"OverKiller","肢解者","Butcher","Мясник","肢解者","肢解者"
"Hangman","刽子手","Hangman","Вешатель","劊子手","刽子手"

"# 船员阵营 / Crewmates"
"Bait","诱饵","Bait","Байт","誘餌","诱饵"
"Luckey","幸运儿","Luckey","Удачник","幸運兒","幸运儿"
"Needy","摆烂人","Lazy Guy","Ленивый Парень","擺爛人","摆烂人"
"SuperStar","大明星","Super Star","Супер Звезда","大明星","大明星"
"CyberStar","网红","Celebrity","Знаменитость","網紅","网红"
"SwordsMan","侠客","Knight","Рыцарь","俠客","侠客"
"Mayor","市长","Mayor","Мэр","市長","市长"
"Paranoia","被害妄想症","Paranoid","Параноик","被害妄想症","被害妄想症"
"Psychic","愚者","Psychic","Экстрасенс","愚者","愚者"
"SabotageMaster","修理工","Repairman","Ремонтник","修理工","修理工"
"Sheriff","警长","Sheriff","Шериф","警长","警长"
"Snitch","告密者","Snitch","Стукач","告密者","告密者"
"SpeedBooster","增速者","Speed Booster","Ускоритель","增速者","增速者"
"Doctor","法医","Doctor","Доктор","法医","法医"
"Trapper","陷阱师","Beartrap","Капкан","陷阱师","陷阱师"
"Dictator","独裁者","Dictator","Диктатор","独裁者","独裁者"
"Detective","侦探","Detective","Детектив","侦探","侦探"
"NiceGuesser","正义赌怪","Nice Guesser","Добрый Угадыватель","正义赌怪","正义赌怪"
"Transporter","传送师","Transporter","Транспортер","传送师","传送师"
"TimeManager","时间操控者","Time Manager","Мастер Времени","时间操控者","时间操控者"
"Veteran","老兵","Veteran","Ветеран","老兵","老兵"
"Bodyguard","保镖","Bodyguard","Телохранитель","保镖","保镖"
"Counterfeiter","赝品商","Deceiver","Обманщик","赝品商","赝品商"
"Grenadier","掷雷兵","Grenadier","Гренадёр","掷雷兵","掷雷兵"
"Medicaler","医生","Medic","Медик","医生","医生"
"Divinator","占卜师","Fortune Teller","Гадалка","占卜师","占卜师"
"Glitch","活死人","The Glitch","Ошибка","活死人","活死人"
"Judge","法官","Judge","Судья","法官","法官"
"Mortician","入殓师","Mortician","Гробовщик","入殓师","入殓师"
"Mediumshiper","通灵师","Medium","Медиум","通灵师","通灵师"

"# 中立阵营 / Neutrals"
"Jester","小丑","Jester","Шут","小丑","小丑"
"Arsonist","纵火犯","Arsonist","Поджигатель","纵火犯","纵火犯"
"Terrorist","恐怖分子","Terrorist","Террорист","恐怖分子","恐怖分子"
"Executioner","处刑人","Executioner","Палач","处刑人","处刑人"
"Opportunist","投机者","Opportunist","Выживший","投机者","投机者"
"Mario","马里奥","Mario","Марио","马里奥","马里奥"
"Jackal","豺狼","Jackal","Шакал","豺狼","豺狼"
"God","神","God","Дьявол","神","神"
"Innocent","冤罪师","Innocent","Обвинитель","冤罪师","冤罪师"
"Pelican","鹈鹕","Pelican","Пеликан","鹈鹕","鹈鹕"
"Revolutionist","革命家","Revolutionist","Революционер","革命家","革命家"
"FFF","FFF团","Hater","Бессердечник","FFF团","FFF团"
"Konan","柯南","Konan","Конан","柯南","柯南"
"Gamer","玩家","Demon","Демон","玩家","玩家"
"DarkHide","潜藏者","Stalker","Сталкер","潜藏者","潜藏者"
"Workaholic","工作狂","Workaholic","Трудоголик","工作狂","工作狂"
"Collector","集票者","Collector","Коллектор","集票者","集票者"
"Provocateur","自爆卡车","Provocateur","Провокатор","自爆卡车","自爆卡车"

"# 附加职业 / Add-ons"
"LastImpostor","绝境者","Last Impostor","Последний Предатель","绝境者","绝境者"
"Lovers","恋人","Lovers","Любовники","恋人","恋人"
"Madmate","叛徒","Madmate","Безумец","叛徒","叛徒"
"Ntr","海王","Neptune","Нептун","海王","海王"
"Watcher","窥视者","Watcher","Наблюдатель","窥视者","窥视者"
"Flashman","闪电侠","Flash","Флэш","闪电侠","闪电侠"
"Lighter","执灯人","Lighter","Фонарик","执灯人","执灯人"
"Seer","灵媒","Seer","Провидец","灵媒","灵媒"
"Brakar","破平者","Tiebreaker","Решающий","破平者","破平者"
"Oblivious","胆小鬼","Oblivious","Забывчивый","胆小鬼","胆小鬼"
"Bewilder","迷幻者","Bewilder","Растерянный","迷幻者","迷幻者"
"Workhorse","加班狂","Workhorse","Работник","加班狂","加班狂"
"Fool","蠢蛋","Fool","Глупец","蠢蛋","蠢蛋"
"Avanger","复仇者","Avenger","Мститель","复仇者","复仇者"
"Youtuber","UP主","YouTuber","Ютубер","UP主","UP主"
"Egoist","利己主义者","Egoist","Эгоист","利己主义者","利己主义者"
"TicketsStealer","窃票者","Stealer","Вор","窃票者","窃票者"
"DualPersonality","双重人格","Schizophrenic","Шизофреник","双重人格","双重人格"
"Mimic","宝箱怪","Mimic","Мимик","宝箱怪","宝箱怪"

"## 附加职业作为前缀时 / Prefixes for Add-ons"

"Prefix.Ntr","海王","Neptunian ","Нептунский ","海王","海王"
"Prefix.Watcher","窥视","Watcher ","Наблюдательный ","窥视","窥视"
"Prefix.Flashman","闪电","Flash ","Флэшевый ","闪电","闪电"
"Prefix.Lighter","执灯","Lighter ","Фонариковый ","执灯","执灯"
"Prefix.Seer","灵媒","Seer ","Провидящий ","灵媒","灵媒"
"Prefix.Brakar","破平","Tiebreaker ","Решающий ","破平","破平"
"Prefix.Oblivious","胆小","Oblivious ","Забывчивый ","胆小","胆小"
"Prefix.Bewilder","迷幻","Bewilder ","Растерянный ","迷幻","迷幻"
"Prefix.Workhorse","加班狂","Workhorse ","Рабочий ","加班狂","加班狂"
"Prefix.Fool","蠢蛋","Fool ","Глуповатый ","蠢蛋","蠢蛋"
"Prefix.Avanger","复仇","Avenger ","Мстительный ","复仇","复仇"
"Prefix.Youtuber","UP主","YouTuber ","Ютубер ","UP主","UP主"
"Prefix.Egoist","利己主义","Egoist ","Эгоистичный ","利己主义","利己主义"
"Prefix.TicketsStealer","窃票","Stealer ","Ворующий ","窃票","窃票"
"Prefix.DualPersonality","双重人格","Schizophrenic ","Шизофренический ","双重人格","双重人格"
"Prefix.Mimic","宝箱怪","Mimic ","Мимикующий ","宝箱怪","宝箱怪"

"## 以下是职业简介（显示在开局以及任务栏的文本）/ Shows at Impostor/Crewmate"" screen"""

"# 中立阵营 / Neutral descriptions"
"NeutralInfo","中立阵营","A team on their own.","Команда которая играет за себя","中立阵营","中立阵营"

"# 内鬼阵营 / Impostor descriptions"
"BountyHunterInfo","走，去拿下你的目标！","Eliminate your target","Охотьтесь за своей целью","走，去拿下你的目标！","走，去拿下你的目标！"
"MareInfo","Good Night~","Kill in the Darkness","Убивайте в темноте","Good Night~","Good Night~"
"FireWorksInfo","一起来看最后的烟花吧","Go out with a BANG","Морфитесь чтобы поставить фейерверк","一起来看最后的烟花吧","一起来看最后的烟花吧"
"SerialKillerInfo","这么多人至少得死一两个吧","Keep killing, else you suicide","Убивай чтобы ты не умер","这么多人至少得死一两个吧","这么多人至少得死一两个吧"
"ShapeMasterInfo","猜猜我是谁","You have no SS cooldown","Морфитесь чтобы запутать всех Членов Экипажа","猜猜我是谁","猜猜我是谁"
"VampireInfo","快去榨干他们","Your kills are delayed","Укусите всех Членов Экипажа","快去榨干他们","快去榨干他们"
"WarlockInfo","人心的脆弱，最容易被利用了","Curse Players then SS","Прокляните всех Членов Экипажа","人心的脆弱，最容易被利用了","人心的脆弱，最容易被利用了"
"AssassinInfo","信仰的一击！","Mark target, SS to Assassinate them","Телепортируйтесь к игроку и убейте его!","信仰的一击！","信仰的一击！"
"ZombieInfo","咬死他们，碾碎他们！","You are very slow","Ты очень медленный","咬死他们，碾碎他们！","咬死他们，碾碎他们！"
"HackerInfo","藏在黑暗背后吧","Force a player to report a body","Заставить игрока зарепортить труп","藏在黑暗背后吧","藏在黑暗背后吧"
"MinerInfo","条条管道通罗马","SS to TP to Last Vent you were in","Телепортируйтесь к вентиляции","条条管道通罗马","条条管道通罗马"
"MinimalismInfo","简单地弄死他们即可~","You can ONLY kill, but low CD","Ты настоящий Терминатор","简单地弄死他们即可~","简单地弄死他们即可~"
"EscapeeInfo","追杀？不存在的","SS to Mark Places & TP back there","Телепортируйся в отмеченную точку","追杀？不存在的","追杀？不存在的"
"WitchInfo","阿瓦达啃大瓜！","Cast Spells to Kill in Meetings","Заклинайте Членов Экипажа","阿瓦达啃大瓜！","阿瓦达啃大瓜！"
"MafiaInfo","总有人不懂我的施舍呢","Kill when all other imps are out","Отомсти за свою смерть","总有人不懂我的施舍呢","总有人不懂我的施舍呢"
"BeforeMafiaInfo","总有人不懂我的施舍呢","You can't kill yet","Вы еще не можете убивать","总有人不懂我的施舍呢","总有人不懂我的施舍呢"
"AfterMafiaInfo","下辈子总该记住我了吧","Now start killing","Время убивать","下辈子总该记住我了吧","下辈子总该记住我了吧"
"PuppeteerInfo","一只只可爱的娃娃，在互相厮杀","Make players kill for you","Заставьте Члена Экипажа убить","一只只可爱的娃娃，在互相厮杀","一只只可爱的娃娃，在互相厮杀"
"TimeThiefInfo","阻止开会模拟器的诞生","Lower Meeting time with each kill","Убивайте игроков чтобы сократить время встречи","阻止开会模拟器的诞生","阻止开会模拟器的诞生"
"SniperInfo","厉害啊，强强命中","SS to Kill from Far Away","Стреляйте в Членов Экипажа на расстоянии","厉害啊，强强命中","厉害啊，强强命中"
"EvilTrackerInfo","你不要过来啊啊啊","SS to Track Players","Отслеживайте Игроков","你不要过来啊啊啊","你不要过来啊啊啊"
"AntiAdminerInfo","没什么能逃过你的眼睛","Know when players are near devices","Ты знаешь что кто-то рядом с устройством","没什么能逃过你的眼睛","没什么能逃过你的眼睛"
"SansInfo","降下审判！","Your Kill CD is Reduced with each kill","Откат после убийства становится все меньше и меньше","降下审判！","降下审判！"
"BomberInfo","Creeper? Aww Man..","Creeper? Aww Man...","ВЗОРВИСЬ!","Creeper? Aww Man..","Creeper? Aww Man.."
"BoobyTrapInfo","艺术就是爆炸！","Start a Killing Chain","Установи Мину на труп","艺术就是爆炸！","艺术就是爆炸！"
"ScavengerInfo","夺走你的一切真是抱歉","Your kills are Unreportable","Убивай, не оставляя следов","夺走你的一切真是抱歉","夺走你的一切真是抱歉"
"EvilGuesserInfo","想来一把吗，伙计","Guess Nice Roles in Meetings to Kill","Угадывай добрые роли игроков","想来一把吗，伙计","想来一把吗，伙计"
"CapitalismInfo","这可都是劳动力呀","Add More Tasks to Players","Добавьте еще одно задание Члену Экипажа","这可都是劳动力呀","这可都是劳动力呀"
"GangsterInfo","是时候重整旗鼓了！","Convert players to your side","Перемани игроков на свою сторону","是时候重整旗鼓了！","是时候重整旗鼓了！"
"CleanerInfo","从世界上抹除掉他们！","Report bodies to make them Unreportable","Очисти труп","从世界上抹除掉他们！","从世界上抹除掉他们！"
"BallLightningInfo","量子轰炸！","Convert players to Quantum Ghosts","Превратите игрока в квантового призрака","量子轰炸！","量子轰炸！"
"GreedierInfo","哈哈哈哈哈哈哈哈哈哈哈","Low Kill CD for every 2nd Kill","Хочу ещё, ещё, ещё, ещё...","哈哈哈哈哈哈哈哈哈哈哈","哈哈哈哈哈哈哈哈哈哈哈"
"CursedWolfInfo","杀我是你做过最愚蠢的决定","You survive a few Kill Attempts","Я БЕССМЕРТЕН!","杀我是你做过最愚蠢的决定","杀我是你做过最愚蠢的决定"
"ImperiusCurseInfo","啊对啊，我是红色，那我还能是谁呢","You swap places with your SS target","Поменяйся местами с Членами Экипажа","啊对啊，我是红色，那我还能是谁呢","啊对啊，我是红色，那我还能是谁呢"
"QuickShooterInfo","I have a big PLAN！","Store Ammo to Offset Kill CD","У меня есть большой ПЛАН!","I have a big PLAN！","I have a big PLAN！"
"ConcealerInfo","当所有人戴上面具，一切都自由了","SS to Camouflage Everyone","Измени облик всех игроков","当所有人戴上面具，一切都自由了","当所有人戴上面具，一切都自由了"
"EraserInfo","恕我直言，你不配拥有能力","Erase the Role of Vote Target","Сотри роли Членов Экипажа","恕我直言，你不配拥有能力","恕我直言，你不配拥有能力"
"OverKillerInfo","且欣赏我美丽的作品","Enjoy my beautiful work","Наслаждайтесь моей работой","且欣赏我美丽的作品","且欣赏我美丽的作品"
"HangmanInfo","就由我，来结束你的生命","I will decide when your life will end","Какой труп? Нет тут никого.","就由我，来结束你的生命","就由我，来结束你的生命"

"# 船员阵营 / Crewmate descriptions"
"BaitInfo","好消息，杀了我可以吃席","Your Killer self-reports your body","Убийца моментально зарепортит ваш труп","好消息，杀了我可以吃席","好消息，杀了我可以吃席"
"LuckeyInfo","你擅长治疗内鬼的低血压","Your Killer may Miss the Kill","Возьми с собой крест，спасет от пули","你擅长治疗内鬼的低血压","你擅长治疗内鬼的低血压"
"NeedyInfo","摆烂快乐！摆烂万岁！","You're too lazy","Ты слишком ленивый","摆烂快乐！摆烂万岁！","摆烂快乐！摆烂万岁！"
"SuperStarInfo","全体目光向我看齐！","Everyone knows you","Все знают кто ты!","全体目光向我看齐！","全体目光向我看齐！"
"CyberStarInfo","放心去吧，会有人报道你的","Everyone knows when you die","Все узнают о твоей смерти","放心去吧，会有人报道你的","放心去吧，会有人报道你的"
"MayorInfo","你拥有让独裁羡慕死的技能","Your vote counts multiple times","У вас больше голосов","你拥有让独裁羡慕死的技能","你拥有让独裁羡慕死的技能"
"ParanoiaInfo","我好像快死了诶","You have a portable meeting button","У вас есть портативная кнопка","我好像快死了诶","我好像快死了诶"
"PsychicInfo","太好了，我逐渐理解一切","1 of the Red Names are Evil","Ты можешь узнать кто является злым","太好了，我逐渐理解一切","太好了，我逐渐理解一切"
"SabotageMasterInfo","你是一个修理匠，修理本领强","Fix Sabotages Faster & Vent","Устраните саботаж в одиночку","你是一个修理匠，修理本领强","你是一个修理匠，修理本领强"
"SheriffInfo","你明明可以当狼玩的","Kill Impostors & Evil Neutrals","Убивайте своих врагов","你明明可以当狼玩的","你明明可以当狼玩的"
"SnitchInfo","总之就是难逃一死","Finish your tasks to find the Impostors","Завершите свои задания，чтобы узнать Предателей","总之就是难逃一死","总之就是难逃一死"
"SpeedBoosterInfo","随风奔跑自由是方向","Boost your speed","Ускоряйте Членов Экипажа","随风奔跑自由是方向","随风奔跑自由是方向"
"DoctorInfo","信我，学医救不了太空人~","Know how each player died","Вы знаете причину смерти игроков","信我，学医救不了太空人~","信我，学医救不了太空人~"
"TrapperInfo","大奖小奖，能记住就是好奖","Freeze your killer for a few seconds","Ловите своих врагов","大奖小奖，能记住就是好奖","大奖小奖，能记住就是好奖"
"DictatorInfo","请您不要随意自杀","Vote Someone to Instantly Eject them","Повесьте своего врага на страх и риск","请您不要随意自杀","请您不要随意自杀"
"DetectiveInfo","我福尔摩斯来辣！","Report Bodies to get Info","Узнай роль трупа","我福尔摩斯来辣！","我福尔摩斯来辣！"
"UndercoverInfo","碟中谍了属于是","Impostors see you as their partner","Предатели считают вас как за своего","碟中谍了属于是","碟中谍了属于是"
"SwordsManInfo","行侠仗义！","You can kill 1 player","Убей одного игрока за игру","行侠仗义！","行侠仗义！"
"NiceGuesserInfo","生命就是豪赌！","Guess Evil Roles in Meetings to Kill them","Угадывай злые роли игроков","生命就是豪赌！","生命就是豪赌！"
"TransporterInfo","移形换影，扭转乾坤！","Do tasks to swap 2 players' locations","Телепортируй 2 случайных игроков","移形换影，扭转乾坤！","移形换影，扭转乾坤！"
"TimeManagerInfo","时间操控大师！","Do tasks to increase Meeting Time","Выполняйте задания чтобы увеличить время встречи","时间操控大师！","时间操控大师！"
"VeteranInfo","内鬼都没你有经验","Alert to Kill Anyone trying to Interact with you","Не позволяй убийце просто так убить себя","内鬼都没你有经验","内鬼都没你有经验"
"BodyguardInfo","想杀人必须先过我这关","Prevent nearby kills","Защити игрока от убийства","想杀人必须先过我这关","想杀人必须先过我这关"
"CounterfeiterInfo","谁又能想到是我呢？","Try to fool the players","Попытайтесь обмануть игроков","谁又能想到是我呢？","谁又能想到是我呢？"
"GrenadierInfo","投掷傻瓜蛋！！","Reduce Impostor's vision by venting","Ослепите Предателей","投掷傻瓜蛋！！","投掷傻瓜蛋！！"
"MedicalerInfo","好像有必要治一治你？","Protect someone from attacks","Защитите Члена Экипажа","好像有必要治一治你？","好像有必要治一治你？"
"DivinatorInfo","水晶球球，求求了","Reveal Roles in Meetings","Проверяй игроков голосуя за них","水晶球球，求求了","水晶球球，求求了"
"GlitchInfo","wDJwFPMNMm","Data Lost","wDJwFPMNMm","wDJwFPMNMm","wDJwFPMNMm"
"JudgeInfo","接着奏乐，接着审~","Silence in the courtroom!","Тишина в зале суда!","接着奏乐，接着审~","接着奏乐，接着审~"
"MorticianInfo","现在，你可以安心地离开了","Locate the dead bodies","Покойся с миром","现在，你可以安心地离开了","现在，你可以安心地离开了"
"MediumshiperInfo","若君心存不甘，不妨和我谈谈","Talk with ghosts","Не хочешь со мной поговорить?","若君心存不甘，不妨和我谈谈","若君心存不甘，不妨和我谈谈"

"# 中立阵营 / Neutral descriptions"
"ArsonistInfo","乖乖站好！","Douse Everyone and Ignite","Облейте и подожгите всех игроков","乖乖站好！","乖乖站好！"
"JesterInfo","我没有、我不是、我对跳","Get voted out","Заставь игроков изгнать себя","我没有、我不是、我对跳","我没有、我不是、我对跳"
"OpportunistInfo","苟到最后就是胜利！","Stay alive until the end","Останьтесь в живых","苟到最后就是胜利！","苟到最后就是胜利！"
"TerroristInfo","多说不宜 Rush B！","Finish your tasks, THEN die","Умрите после выполнения всех заданий","多说不宜 Rush B！","多说不宜 Rush B！"
"ExecutionerInfo","确实，我其实是看他不爽","Get your target voted out","Заставь игроков изгнать свою цель","确实，我其实是看他不爽","确实，我其实是看他不爽"
"MarioInfo","听说你的公主在管道里","Jump in! Jump out!","Прыг, скок, прыг, скок!","听说你的公主在管道里","听说你的公主在管道里"
"JackalInfo","在这里，我一般称自己为只狼","Kill Everyone","Убей всех игроков","在这里，我一般称自己为只狼","在这里，我一般称自己为只狼"
"GodInfo","一切都在您的掌控","Everything is under your control","Все под вашим контролем","一切都在您的掌控","一切都在您的掌控"
"InnocentInfo","果然碰瓷百试百灵","Get someone ejected by making them kill you","Пусть цель невинного будет изгнана","果然碰瓷百试百灵","果然碰瓷百试百灵"
"PelicanInfo","船船，饿饿，饭饭","Eat all players","Съешьте всех игроков","船船，饿饿，饭饭","船船，饿饿，饭饭"
"RevolutionistInfo","人类的赞歌是勇气的赞歌","Recruit players to win with you","Совершите Революцию!","人类的赞歌是勇气的赞歌","人类的赞歌是勇气的赞歌"
"FFFInfo","该烧还是该审？","Kill Lovers and Neptunes","Вы ненавидите Любовников и Нептунов","该烧还是该审？","该烧还是该审？"
"KonanInfo","在一次和小兰的约会中...","Still on a date with Xiaoling...","Все ещё на свидании с Сяолином...","在一次和小兰的约会中...","在一次和小兰的约会中..."
"GamerInfo","Lv又增加了捏~","Consume Blood volumes","Выпейте всю кровь игроков","Lv又增加了捏~","Lv又增加了捏~"
"DarkHideInfo","降下黑暗，释放恐惧！","Descend into the darkness, release Fear!","Спускайся во тьму, освободи Страх!","降下黑暗，释放恐惧！","降下黑暗，释放恐惧！"
"WorkaholicInfo","卷死他们！","Finish all tasks to solo win!","Сделай свои задания и победи!","卷死他们！","卷死他们！"
"CollectorInfo","是收集癖的胜利！","Collect votes from Players","Соберите достаточное количество голосов","是收集癖的胜利！","是收集癖的胜利！"
"ProvocateurInfo","你急了，你寄了","Victory with help target","Победите с помощью цели","你急了，你寄了","你急了，你寄了"

"# 附加职业 / Add-ons descriptions"
"LoversInfo","最重要的是，记得照顾好你的另一半","Stay Alive and win together","Выживите со своим Любовником","最重要的是，记得照顾好你的另一半","最重要的是，记得照顾好你的另一半"
"MadmateInfo","结局掌握在你的手中","Help the Impostors","Помогите Предателям","结局掌握在你的手中","结局掌握在你的手中"
"NtrInfo","笨蛋，我只爱你亿个人哦","Everyone sees you as their Lover","Вас видят как своего Любовника","笨蛋，我只爱你亿个人哦","笨蛋，我只爱你亿个人哦"
"WatcherInfo","窥视到一切的阴暗面","You see all the colors of votes","Вы видите все цвета голосов","窥视到一切的阴暗面","窥视到一切的阴暗面"
"LastImpostorInfo","你是狼村最后的希望…","Lower Kill CD","Ты последний предатель","你是狼村最后的希望…","你是狼村最后的希望…"
"FlashmanInfo","卡其脱离太！","You're faster","У вас скорость выше!","卡其脱离太！","卡其脱离太！"
"LighterInfo","嘿！你在发光诶！","You can see in the dark!","Ваш обзор такой же как и у Предателей","嘿！你在发光诶！","嘿！你在发光诶！"
"SeerInfo","卧槽有人寄了，卧槽！","You are alerted when somebody is killed","Вы видите когда умирают игроки","卧槽有人寄了，卧槽！","卧槽有人寄了，卧槽！"
"BrakarInfo","打破这无聊的规则","Break Tied Votes","У вас ещё один невидимый голос","打破这无聊的规则","打破这无聊的规则"
"ObliviousInfo","我的天哪，好恐怖","You can't report bodies","Вы не можете ркпортить трупы","我的天哪，好恐怖","我的天哪，好恐怖"
